,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,À˘ Ù¿‡±
0,0.301,0.44,0.45,0.00534,0.6,0.893,0.713,0.606,0.673,0.0847,0.146,0.427,0.889,0.282,0.815,0.228,0.0552,0.349,0.743,0.442,3.74E-14,9.20E-12,3.89E-13,1.10E-15,6.30E-11,5.03E-14,1.66E-12,6.80E-14,9.13E-16,3.13E-11,1.95E-12,2.62E-15,1.05E-15,9.88E-15,1.13E-15,6.96E-17,5.03E-12,4.94E-16,8.33E-14,2.19E-12,2
1,0.38,0.903,0.91,0.949,0.278,0.641,0.181,0.385,0.62,0.542,0.00461,0.86,0.508,0.095,0.923,0.864,0.425,0.542,0.377,0.494,2.58E-09,9.89E-05,2.24E-08,1.46E-08,0.001471147,2.23E-08,2.39E-05,6.38E-08,1.25E-09,6.83E-07,1.30E-08,5.29E-12,5.38E-10,1.31E-08,1.55E-08,1.27E-10,8.73E-09,0,7.61E-11,5.33E-11,2
2,0.968,0.374,0.479,0.239,0.53,0.144,0.242,0.245,0.693,0.588,0.159,0.232,0.358,0.536,0.551,0.673,0.184,0.516,0.736,0.309,3.04E-10,3.37E-05,2.69E-09,1.75E-09,0.000107951,2.68E-09,6.68E-06,7.67E-09,2.52E-11,4.96E-08,1.56E-09,2.33E-13,6.21E-11,1.57E-09,1.81E-09,5.91E-12,2.91E-10,0,0,0,2
3,0.229,0.178,0.879,0.785,0.189,0.898,0.0463,0.213,0.0168,0.524,0.0518,0.83,0.499,0.357,0.527,0.796,0.205,0.502,0.619,0.0253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,0.408,0,0.797,0.0612,0.144,0.677,0.438,0.373,0.671,0.56,0.838,0.551,0.666,0.197,0.897,0.619,0.429,0.395,0.581,0.215,4.28E-12,0.000190162,4.15E-11,2.73E-11,1.58E-05,4.15E-11,4.15E-05,1.25E-10,1.18E-08,8.14E-09,2.44E-11,8.43E-12,2.95E-11,2.48E-11,5.30E-11,5.63E-13,2.99E-09,2.80E-13,0,1.23E-12,0
5,0.954,0.558,0.385,0.375,0.522,0.629,0.289,0.414,0.505,0.923,0.386,0.0194,0.0175,0.929,0.324,0.813,0.239,0.0855,0.181,0.139,4.14E-11,0.000186194,1.04E-10,1.18E-10,2.16E-05,2.02E-10,0.000281724,3.60E-10,1.03E-10,1.15E-07,5.27E-11,8.63E-11,2.86E-09,3.69E-10,5.65E-11,9.69E-13,2.07E-07,1.87E-10,3.08E-11,9.19E-11,1
6,0.838,0.247,0.882,0.946,0.74,0.818,0.198,0.269,0.159,0.452,0.268,0.000355,0.282,0.409,0.763,0.526,0.527,0.1,0.417,0.0671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,0.872,0.158,0.59,0.691,0.941,0.812,0.7,0.934,0.191,0.35,0.224,0.0524,0.683,0.642,0.108,0.265,0.478,0.478,0.22,0.402,6.23E-11,0.000380706,6.82E-11,1.02E-10,4.42E-05,1.13E-10,0.000423539,5.28E-10,7.91E-11,1.78E-07,7.60E-11,3.92E-11,3.89E-09,1.79E-10,9.21E-11,2.34E-12,4.19E-07,8.42E-11,8.06E-11,2.06E-10,2
8,0.775,0.58,0.578,0.292,0.416,0.12,0.517,0.329,0.925,0.432,0.94,0.936,0.344,0.346,0.531,0.872,0.925,0.857,0.38,0.589,1.31E-11,8.50E-05,1.51E-11,2.17E-11,1.77E-05,2.25E-11,9.95E-05,1.28E-10,1.17E-11,1.15E-07,2.03E-11,6.54E-12,8.46E-10,3.20E-11,9.66E-11,4.57E-12,1.09E-07,1.40E-11,2.10E-11,5.24E-11,0
9,0.642,0.669,0.52,0.79,0.265,0.143,0.655,0.398,0.792,0.393,0.332,0.733,0.264,0.13,0.125,0.85,0.289,0.0146,0.0167,0.194,4.31E-10,7.36E-09,5.84E-10,1.59E-13,8.28E-10,1.79E-12,1.67E-08,5.31E-11,1.07E-11,3.02E-09,2.56E-11,2.21E-11,9.83E-11,3.90E-11,5.01E-10,7.37E-12,8.68E-10,0,9.92E-11,8.27E-10,2
