,A,B,C,D,E,F,G,H,I,J,À˘ Ù¿‡±
0,0.069157556,0.677639968,0.480843728,0.144563464,0.094866792,0.641877726,0.158650809,0.065564342,0.065272237,0.792277189,1
1,0.363137397,0.437497664,0.825459659,0.745225956,0.843373791,0.965863193,0.540096986,0.099619063,0.464230816,0.752132752,2
2,0.724795124,0.367516858,0.439117463,0.184180299,0.362069541,0.445379324,0.678083221,0.72482849,0.31556349,0.730521659,0
3,0.081443744,0.441620106,0.733828416,0.149933987,0.363051925,0.804236924,0.465432337,0.855143804,0.561430306,0.639928628,0
4,0.725798655,0.70170447,0.652165291,0.313335156,0.065710677,0.774194585,0.033036229,0.233591662,0.122428953,0.243212476,2
5,0.55088174,0.412948061,0.378676709,0.294070495,0.850128786,0.019296001,0.555400016,0.503732296,0.285109073,0.33429739,3
6,0.89416595,0.119586507,0.549235438,0.465763442,0.157811538,0.971585817,0.952852599,0.365981803,0.361071705,0.5432318,0
7,0.772605297,0.852190983,0.708658767,0.585953974,0.559799292,0.513541029,0.27112852,0.875370882,0.202957838,0,2
8,0.89422122,0.875054758,0.478301628,0.757452884,0.816229435,0.659312148,0.815004921,0.463326067,0.907517185,0.878572209,3
9,0.37621684,0.241762589,0.089506324,0.699644493,0.744768143,0.960130667,0.443673714,0.097712957,0.187978994,0.178316808,2
10,0.74164581,0.290675577,0.115968295,0.354537071,0.93222024,0.521145035,0.060295333,0.574627581,0.556524821,0.191320999,3
11,0.338728098,0.299852298,0.801786519,0.246408048,0.712110161,0.877293087,0.303334833,0.910450016,0.902714719,0.110431397,3
12,0.06175226,0.858702426,0.481565388,0.187213994,0.3114926,0.907171436,0.762874947,0.618611764,0.592747836,0.179137361,0
13,0.656656117,0.274135841,0.442183299,0.880300721,0.829270104,0.495152717,0.624281435,0.967633144,0.946359923,0.815809021,3
14,0.365012051,0.434846645,0.619329151,0.091193816,0.382509251,0.755602879,0.689340159,0.707287998,0.024897107,0.068212175,2
15,0.71222697,0.402813854,0.562111243,0.007910538,0.691097386,0.194072982,0.032033125,0.324168556,0.129411984,0.970658716,2
16,0.646993035,0.714951065,0.934756457,0.598608204,0.522475465,0.575539326,0.574656564,0.787179778,0.490268664,0.77874486,0
17,0.515386085,0.585305081,0.541519661,0.301471834,0.541064783,0.364013465,0.905190225,0.793327872,0.521283655,0.346006134,3
18,0.688779469,0.497047164,0.306489568,0.548807216,0.554527737,0.044230848,0.490494789,0.528493865,0.103500386,0.470770631,2
19,0.401160362,0.531170699,0.156286436,0.578817488,0.645208414,0.352107583,0.14921871,0.374103469,0.848040247,0.908634536,3
20,0.714045418,0.545241359,0.88547463,0.785788216,0,0.218430926,0.53430142,0.224207041,0.2770103,0.138163386,0
21,0.420250007,0.565115138,0.487537226,0.557912941,0.017408143,0.81039041,0.206201003,0.087263136,0.497658157,0.638257283,0
22,0,0.546034495,0.159535781,0.935090119,0.2072227,0.000794581,0.969515856,0.740408886,0.920079831,0.803060283,0
23,0.565345207,0.367219456,0.44131509,0.180429834,0.15329571,0.483779953,0.943890292,0,0.560904416,0.948185536,0
24,0,0.247356555,0.399067151,0.562037108,0.914479258,0.159951998,0.284164581,0.474357096,0.797044446,0.466570034,3
25,0.25861316,0.328905178,0.111163711,0.099939883,0.81523485,0.286493712,0.506606625,0.331429842,0.635698576,0.142013037,3
26,0.777948743,0.526098564,0.522047582,0.520175895,0.615090114,0.382805043,0.188882606,0.106075044,0.441970021,0.312658443,2
27,0.51128523,0.354606759,0.666366999,0.636740007,0.449029237,0.356881658,0.479718701,0.123400403,0.622563617,0.447454172,3
28,0.000984032,0.702956868,0.475787065,0.308201348,0.570396787,0.671961415,0.201777935,0,0.428881221,0.893205959,2
29,0.833250759,0.604984126,0.631219007,0.137239926,0.960179972,0.073535703,0.498644157,0.763927966,0.051676102,0.035291843,2
30,0.041377453,0.545560863,0.621395113,0.862113555,0.967903544,0.702454987,0.582099006,0.75635188,0.228741324,0.16671327,2
31,0.64805015,0.943152382,0.527470643,0.945995834,0.720540273,0.874515441,0.034828165,0.882766544,0.173879509,0.972103796,2
32,0.132143795,0.655077226,0.235484364,0,0.124457669,0.599777897,0.638388801,0.603283592,0.271252104,0.538376508,0
33,0.445313676,0.483412952,0.05065246,0.861848406,0.536282755,0.265055224,0.247322247,0.291424525,0.166227818,0.876603434,2
34,0.291680877,0.570341893,0.381747448,0,0.837544967,0.046759533,0.311617965,0.397343687,0.564093262,0.568231103,3
35,0.725321731,0.706668499,0.829184797,0.914036371,0.774053228,0.261307915,0.089048282,0.182201545,0.929653372,0.962670451,3
36,0.630005142,0.666693261,0.249501156,0.536719468,0.494419835,0.802124272,0.721753681,0.684094847,0.666127345,0.790959808,0
37,0.061998458,0.36410905,0.878643447,0.256705305,0,0.22083718,0.683379821,0.860819997,0.475150106,0.753800135,0
38,0.31009717,0.92347235,0.633027565,0.167828157,0.254059092,0.866553585,0.519717383,0.513555656,0.413416028,0.533069999,0
39,0.014036525,0.241050756,0.201517361,0.469912585,0.498980662,0.650024936,0.538350578,0.82883498,0.837521314,0.444771635,3
40,0.228112301,0.34322626,0.959046886,0.249274882,0.758842428,0.645664076,0.794655776,0.397124068,0.87827327,0.654246362,3
41,0.607481308,0.076904139,0.981179211,0,0.509755823,0.637523957,0.026628727,0.237684114,0.1137571,0.381397649,2
42,0.445200169,0.371291066,0.553079406,0.144961567,0.527035024,0.653740609,0.288471599,0.956555464,0.693408478,0.218428931,3
43,0.511392208,0.240206374,0.140673163,0.042002162,0.843894381,0.686812873,0.707243109,0.657066156,0.719071672,0.965903758,3
44,0.018442133,0,0.279270654,0.068076006,0.27572637,0.984726384,0.577044518,0.891984093,0.406646306,0.883205725,0
45,0.500691632,0.010003426,0.132225001,0.034746651,0.326396475,0.017517603,0.580169247,0.475662038,0.49883272,0.42031015,1
46,0.585015221,0.69341972,0.467191337,0.965463623,0.441450422,0.244567215,0.938307443,0.367312295,0.561338,0.558501559,0
47,0.554373832,0.627799235,0.012791425,0.158795502,0.506506344,0.48509014,0.791609947,0.081554052,0.231742086,0.33399702,2
48,0.100500792,0.159128223,0.629316028,0.437310331,0.856185818,0.952312694,0.242963172,0.301336281,0.546640663,0.796164636,3
49,0.840304791,0.857369908,0.421588185,0.275071766,0.402252454,0.637170841,0.332558906,0.616591244,0.625286209,0.121213588,0
50,0.113988207,0.138859639,0.740150023,0.352303152,0,0.41220091,0.416256898,0.836949352,0.97009832,0.024635128,0
51,0.752717924,0.645168959,0.019773267,0.352465957,0.22543428,0.778861095,0.368684716,0.133596574,0.239443479,0.983601403,2
52,0.634073266,0.092834795,0.728223403,0.779835749,0,0.507645521,0.869402249,0.312914559,0.923938392,0.872818586,0
53,0.533936798,0.893835599,0.560177922,0.202505043,0.399715267,0.264482706,0.545487263,0.047140436,0.932656179,0.128074347,3
54,0.138692796,0.849205167,0.262484464,0.523105531,0.217074081,0.074469019,0.724658366,0.750814481,0.734707211,0.508634521,0
55,0.251271952,0.683648156,0.325462106,0.580062536,0.502845335,0.425724944,0.071596312,0.611928383,0.020812307,0.061755804,2
56,0.6215085,0.907141236,0.29588209,0,0.18684021,0.559125308,0.117654047,0.800423989,0.306336418,0.945948376,0
57,0.035066608,0.719908819,0.489877832,0.573194235,0.751197269,0.48294235,0.436981885,0.652763477,0.720327741,0.212583587,3
58,0.553318573,0.089678765,0.252275411,0.340107974,0.213758281,0.421668931,0.51440732,0.637192864,0.832638623,0.758965016,0
59,0.938579792,0,0.670189346,0.777744177,0.814240528,0.940325695,0.690817012,0.810746059,0.1287993,0.943013671,2
60,0.430407459,0.915337188,0.004711069,0.247866054,0.12546336,0.525152929,0.828902981,0.361918805,0.856526184,0.667789752,0
61,0.184389113,0.976580799,0.111907088,0.466991011,0.133729752,0.15290307,0.254467606,0.673464117,0.330958503,0.071986934,1
62,0.30883888,0.225625917,0.07942562,0.499776662,0.550742801,0.305840898,0.258686707,0.008355323,0.468891576,0.50011003,1
63,0.682687166,0.977334315,0.619125795,0.595365629,0.440439404,0.503889758,0.594066175,0.187948519,0.391428948,0.531753033,2
64,0.486849524,0.7032489,0.788865837,0.227930681,0.686658985,0.301093561,0.563918657,0.777527335,0.613840934,0.847584537,3
65,0.964811649,0.311232595,0.13528163,0.586212526,0,0.793317658,0.838842851,0.330812476,0.274563827,0.491585368,0
66,0.943258201,0.517082748,0.656893325,0.357153241,0.61079737,0.421111538,0.829703058,0.765683288,0.787920722,0.009515635,3
67,0.784552679,0.54485833,0.808457474,0.50459811,0.102320351,0.935664,0.640823249,0.26187441,0,0.796537173,2
